City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Poplar Bluff,US,82.13,clear sky,36.757,-90.3929,Holiday Inn Poplar Bluff
5,Kapaa,US,82.38,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
6,Kahului,US,80.62,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
7,Udachnyy,RU,82.45,scattered clouds,66.4167,112.4,Severnoye Siyaniye
20,Mahebourg,MU,70.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
22,Uarini,BR,71.1,overcast clouds,-2.99,-65.1083,
23,Hamilton,US,76.05,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
25,Komsomolskiy,UZ,77.72,overcast clouds,40.4272,71.7189,Ikathouse
26,Zhezkazgan,KZ,80.58,clear sky,47.8043,67.7144,Hotel Zumrat
28,Umm Lajj,SA,81.52,clear sky,25.0213,37.2685,Moon light Furnished Units
30,Kodiak,US,71.11,clear sky,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
31,Jamestown,US,78.39,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
32,Mezhdurechensk,RU,77.16,broken clouds,53.6942,88.0603,Apartments Mezhdurechensk
33,Vaini,TO,78.96,few clouds,-21.2,-175.2,Keleti Beach Resort
34,Dawlatabad,AF,81.79,clear sky,36.4141,64.9053,WASIM ASGAR KHAN
36,Itarema,BR,75.7,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
39,Tazovskiy,RU,75.02,scattered clouds,67.4667,78.7,TazHostel
40,Atuona,PF,77.76,clear sky,-9.8,-139.0333,Villa Enata
44,Alexandria,EG,76.3,clear sky,31.2156,29.9553,Royal Crown Hotel
45,Avarua,CK,80.65,broken clouds,-21.2078,-159.775,Paradise Inn
49,Rincon,US,79.86,few clouds,32.296,-81.2354,Days Inn Rincon
57,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
60,Abdanan,IR,84.76,clear sky,32.9926,47.4198,خدمات موبایل میرزایی
66,Vero Beach,US,81.99,clear sky,27.6386,-80.3973,Kimpton Vero Beach Hotel & Spa
67,Crotone,IT,79.2,clear sky,39.0851,17.1178,Helios Hotel
69,Herat,AF,72.82,clear sky,34.5,62.0,
70,Bengkulu,ID,83.23,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
72,Nargana,PA,77.52,overcast clouds,9.4428,-78.5906,Dubbir
78,Rikitea,PF,73.31,scattered clouds,-23.1203,-134.9692,People ThankYou
79,Geraldton,AU,73.81,clear sky,-28.7667,114.6,Broadwater Mariner Resort
82,Ballina,AU,72.01,clear sky,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
88,Noumea,NC,75.0,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
90,Arraial Do Cabo,BR,70.59,clear sky,-22.9661,-42.0278,Pousada Porto Praia
91,Fethiye,TR,73.27,clear sky,36.6217,29.1164,Club & Hotel Letoonia
93,Aleksandrov Gay,RU,81.37,few clouds,50.147,48.5704,Gostinitsa
94,Axim,GH,73.42,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
95,Zhuanghe,CN,75.36,overcast clouds,39.7008,122.9911,Hanting Express Dalian Zhuanghe Qiansheng
97,Nouadhibou,MR,71.58,few clouds,20.930999999999997,-17.0347,El Medina
101,Hilo,US,77.29,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
102,Spring Hill,US,79.83,clear sky,28.4769,-82.5255,Millennium Suites Llc
103,Airai,TL,71.29,scattered clouds,-8.9266,125.4092,
104,Hithadhoo,MV,84.38,overcast clouds,-0.6,73.0833,Scoop Guest House
105,Jackson,US,78.67,clear sky,42.4165,-122.8345,Agate Village Apartments
108,Aklavik,CA,71.01,clear sky,68.2191,-135.0107,Aklavik Inn
110,Mayo,US,74.12,clear sky,38.8876,-76.5119,Resorts Resource Group International
