Weather_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Saskylakh,RU,71.9167,114.0833,50.77,47,59,7.11,broken clouds
1,Saint-Gaudens,FR,43.0833,0.6667,62.02,84,48,4.16,light rain
2,Yellowknife,CA,62.456,-114.3525,64.92,52,40,3.44,scattered clouds
3,General Roca,AR,-39.0333,-67.5833,39.61,64,100,8.41,overcast clouds
4,Poplar Bluff,US,36.757,-90.3929,82.13,79,0,0.0,clear sky
5,Kapaa,US,22.0752,-159.319,82.38,85,40,13.8,scattered clouds
6,Kahului,US,20.8947,-156.47,80.62,69,40,19.57,scattered clouds
7,Udachnyy,RU,66.4167,112.4,82.45,24,48,9.73,scattered clouds
8,Christchurch,NZ,-43.5333,172.6333,48.9,74,3,8.05,clear sky
9,Albany,US,42.6001,-73.9662,61.21,92,100,1.99,overcast clouds
10,Asau,RO,46.4333,26.4,54.52,75,1,3.98,clear sky
11,Punta Arenas,CL,-53.15,-70.9167,33.91,80,0,21.85,clear sky
12,Neringa,LT,55.3719,21.0647,58.5,83,8,8.43,clear sky
13,Upernavik,GL,72.7868,-56.1549,33.87,100,100,8.23,light snow
14,Ushuaia,AR,-54.8,-68.3,37.06,75,20,26.46,few clouds
15,Hay River,CA,60.8156,-115.7999,60.78,67,75,6.91,broken clouds
16,Buala,SB,-8.145,159.5921,85.1,69,19,6.87,few clouds
17,Solnechnyy,RU,50.7214,136.6319,62.55,92,100,6.96,overcast clouds
18,Castro,BR,-24.7911,-50.0119,59.43,90,65,5.44,broken clouds
19,Longyearbyen,SJ,78.2186,15.6401,44.44,65,75,18.41,broken clouds
20,Mahebourg,MU,-20.4081,57.7,70.25,77,40,3.44,scattered clouds
21,Bluff,NZ,-46.6,168.3333,46.8,75,3,4.54,clear sky
22,Uarini,BR,-2.99,-65.1083,71.1,99,98,2.62,overcast clouds
23,Hamilton,US,39.1834,-84.5333,76.05,76,0,5.75,clear sky
24,Busselton,AU,-33.65,115.3333,66.34,66,54,16.44,broken clouds
25,Komsomolskiy,UZ,40.4272,71.7189,77.72,38,99,2.3,overcast clouds
26,Zhezkazgan,KZ,47.8043,67.7144,80.58,22,0,8.95,clear sky
27,Mataura,NZ,-46.1927,168.8643,46.47,75,1,0.65,clear sky
28,Umm Lajj,SA,25.0213,37.2685,81.52,65,0,17.54,clear sky
29,Omama,JP,36.4333,139.2833,85.69,51,70,6.64,broken clouds
30,Kodiak,US,57.79,-152.4072,71.11,40,0,12.66,clear sky
31,Jamestown,US,42.097,-79.2353,78.39,65,0,6.91,clear sky
32,Mezhdurechensk,RU,53.6942,88.0603,77.16,52,74,5.88,broken clouds
33,Vaini,TO,-21.2,-175.2,78.96,65,20,9.22,few clouds
34,Dawlatabad,AF,36.4141,64.9053,81.79,20,4,3.42,clear sky
35,Vaasa,FI,63.096,21.6158,57.22,94,100,2.3,light rain
36,Itarema,BR,-2.9248,-39.9167,75.7,83,84,11.86,broken clouds
37,Barbate,ES,36.1924,-5.9219,63.25,77,7,8.1,clear sky
38,East London,ZA,-33.0153,27.9116,59.94,94,0,5.75,clear sky
39,Tazovskiy,RU,67.4667,78.7,75.02,45,39,13.51,scattered clouds
40,Atuona,PF,-9.8,-139.0333,77.76,80,8,24.07,clear sky
41,Oliveira Do Hospital,PT,40.3618,-7.8601,55.08,94,90,2.68,overcast clouds
42,Kiruna,SE,67.8557,20.2251,38.32,93,100,8.05,overcast clouds
43,Kokoda,PG,-8.8785,147.7407,85.1,64,35,5.82,scattered clouds
44,Alexandria,EG,31.2156,29.9553,76.3,71,0,16.13,clear sky
45,Avarua,CK,-21.2078,-159.775,80.65,83,75,10.36,broken clouds
46,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,59.59,72,40,17.9,scattered clouds
47,Port Alfred,ZA,-33.5906,26.891,64.36,85,100,16.8,overcast clouds
48,Leningradskiy,RU,69.3833,178.4167,36.46,67,40,6.06,scattered clouds
49,Rincon,US,32.296,-81.2354,79.86,81,20,3.44,few clouds
50,Srednekolymsk,RU,67.45,153.6833,66.06,32,57,12.01,broken clouds
51,Barrow,US,71.2906,-156.7887,42.82,81,75,12.66,broken clouds
52,Chuy,UY,-33.6971,-53.4616,52.97,84,97,13.76,overcast clouds
53,Khatanga,RU,71.9667,102.5,53.56,57,100,10.51,overcast clouds
54,Pisco,PE,-13.7,-76.2167,59.05,88,75,2.3,mist
55,Port Elizabeth,ZA,-33.918,25.5701,55.31,99,0,2.3,clear sky
56,San Cristobal,VE,7.7669,-72.225,68.18,98,47,3.15,scattered clouds
57,Bathsheba,BB,13.2167,-59.5167,81.21,83,40,13.8,scattered clouds
58,Peniche,PT,39.3558,-9.3811,63.1,88,95,13.35,overcast clouds
59,Flinders,AU,-34.5833,150.8552,67.17,49,38,4.0,scattered clouds
60,Abdanan,IR,32.9926,47.4198,84.76,16,0,7.76,clear sky
61,New Norfolk,AU,-42.7826,147.0587,55.89,81,23,3.27,few clouds
62,Ponta Do Sol,PT,32.6667,-17.1,66.83,64,20,5.44,few clouds
63,Tiksi,RU,71.6872,128.8694,37.98,85,97,14.67,overcast clouds
64,Hobart,AU,-42.8794,147.3294,56.23,73,40,2.3,scattered clouds
65,San Quintin,MX,30.4833,-115.95,68.58,69,17,5.19,few clouds
